county,district,candidate,votes
Benewah,First Judicial District,Barbara Buchanan,576
Benewah,First Judicial District,Richard S. Christensen,691
Benewah,First Judicial District,Fred M. Gibler,596
Benewah,First Judicial District,Lansing L. Haynes,560
Benewah,First Judicial District,John T. Mitchell,572
Benewah,First Judicial District,Benjamin R. Simpson,540
Bonner,First Judicial District,Barbara Buchanan,5008
Bonner,First Judicial District,Richard S. Christensen,4488
Bonner,First Judicial District,Fred M. Gibler,4504
Bonner,First Judicial District,Lansing L. Haynes,4501
Bonner,First Judicial District,John T. Mitchell,4564
Bonner,First Judicial District,Benjamin R. Simpson,4553
Boundary,First Judicial District,Barbara Buchanan,1416
Boundary,First Judicial District,Richard S. Christensen,1256
Boundary,First Judicial District,Fred M. Gibler,1242
Boundary,First Judicial District,Lansing L. Haynes,1246
Boundary,First Judicial District,John T. Mitchell,1268
Boundary,First Judicial District,Benjamin R. Simpson,1248
Kootenai,First Judicial District,Barbara Buchanan,10624
Kootenai,First Judicial District,Richard S. Christensen,10499
Kootenai,First Judicial District,Fred M. Gibler,10585
Kootenai,First Judicial District,Lansing L. Haynes,10691
Kootenai,First Judicial District,John T. Mitchell,10672
Kootenai,First Judicial District,Benjamin R. Simpson,10583
Shoshone,First Judicial District,Barbara Buchanan,789
Shoshone,First Judicial District,Richard S. Christensen,780
Shoshone,First Judicial District,Fred M. Gibler,921
Shoshone,First Judicial District,Lansing L. Haynes,784
Shoshone,First Judicial District,John T. Mitchell,812
Shoshone,First Judicial District,Benjamin R. Simpson,848
Clearwater,Second Judicial District,John Bradbury,635
Clearwater,Second Judicial District,Jeff M. Brudie,418
Clearwater,Second Judicial District,Michael J. Griffin,759
Clearwater,Second Judicial District,John R. Stegner,784
Idaho,Second Judicial District,John Bradbury,1782
Idaho,Second Judicial District,Jeff M. Brudie,1833
Idaho,Second Judicial District,Michael J. Griffin,2977
Idaho,Second Judicial District,John R. Stegner,2798
Latah,Second Judicial District,John Bradbury,1035
Latah,Second Judicial District,Jeff M. Brudie,1899
Latah,Second Judicial District,Michael J. Griffin,2320
Latah,Second Judicial District,John R. Stegner,2534
Lewis,Second Judicial District,John Bradbury,393
Lewis,Second Judicial District,Jeff M. Brudie,279
Lewis,Second Judicial District,Michael J. Griffin,529
Lewis,Second Judicial District,John R. Stegner,534
Nez Perce,Second Judicial District,John Bradbury,1161
Nez Perce,Second Judicial District,Jeff M. Brudie,2091
Nez Perce,Second Judicial District,Michael J. Griffin,2559
Nez Perce,Second Judicial District,John R. Stegner,2727
Adams,Third Judicial District,Bradley S. Ford,585
Adams,Third Judicial District,Molly J. Huskey,548
Adams,Third Judicial District,Juneal C. Kerrick,555
Adams,Third Judicial District,Thomas J. Ryan,549
Adams,Third Judicial District,George A. Southworth,555
Adams,Third Judicial District,Susan E. Wiebe,558
Canyon,Third Judicial District,Bradley S. Ford,12811
Canyon,Third Judicial District,Molly J. Huskey,12484
Canyon,Third Judicial District,Juneal C. Kerrick,12921
Canyon,Third Judicial District,Thomas J. Ryan,12624
Canyon,Third Judicial District,George A. Southworth,12341
Canyon,Third Judicial District,Susan E. Wiebe,12541
Gem,Third Judicial District,Bradley S. Ford,2077
Gem,Third Judicial District,Molly J. Huskey,2078
Gem,Third Judicial District,Juneal C. Kerrick,2058
Gem,Third Judicial District,Thomas J. Ryan,2063
Gem,Third Judicial District,George A. Southworth,2056
Gem,Third Judicial District,Susan E. Wiebe,2060
Owyhee,Third Judicial District,Bradley S. Ford,1114
Owyhee,Third Judicial District,Molly J. Huskey,1061
Owyhee,Third Judicial District,Juneal C. Kerrick,1060
